mktrf,rf,dateff
0.028100,0.00000,2013-12-31
-0.033200,0.00000,2014-01-31
0.046500,0.00000,2014-02-28
0.004300,0.00000,2014-03-31
-0.001900,0.00000,2014-04-30
0.020600,0.00000,2014-05-30
0.026100,0.00000,2014-06-30
-0.020400,0.00000,2014-07-31
0.042400,0.00000,2014-08-29
-0.019700,0.00000,2014-09-30
0.025200,0.00000,2014-10-31
0.025500,0.00000,2014-11-28
-0.000600,0.00000,2014-12-31
-0.031100,0.00000,2015-01-30
0.061300,0.00000,2015-02-27
-0.011200,0.00000,2015-03-31
0.005900,0.00000,2015-04-30
0.013600,0.00000,2015-05-29
-0.015300,0.00000,2015-06-30
0.015400,0.00000,2015-07-31
-0.060400,0.00000,2015-08-31
-0.030700,0.00000,2015-09-30
0.077500,0.00000,2015-10-30
0.005700,0.00000,2015-11-30
-0.021700,0.00010,2015-12-31
-0.057700,0.00010,2016-01-29
-0.000700,0.00020,2016-02-29
0.069600,0.00020,2016-03-31
0.009100,0.00010,2016-04-29
0.017800,0.00010,2016-05-31
-0.000500,0.00020,2016-06-30
0.039500,0.00020,2016-07-29
0.004900,0.00020,2016-08-31
0.002500,0.00020,2016-09-30
-0.020200,0.00020,2016-10-31
0.048600,0.00010,2016-11-30
0.018200,0.00030,2016-12-30
0.019400,0.00040,2017-01-31
0.035700,0.00040,2017-02-28
0.001700,0.00030,2017-03-31
0.010900,0.00050,2017-04-28
0.010600,0.00060,2017-05-31
0.007800,0.00060,2017-06-30
0.018700,0.00070,2017-07-31
0.001600,0.00090,2017-08-31
0.025100,0.00090,2017-09-29
0.022500,0.00090,2017-10-31
0.031200,0.00080,2017-11-30
0.010600,0.00090,2017-12-29
0.055700,0.00120,2018-01-31
-0.036500,0.00110,2018-02-28
-0.023500,0.00110,2018-03-29
0.002900,0.00140,2018-04-30
0.026500,0.00140,2018-05-31
0.004800,0.00140,2018-06-29
0.031900,0.00160,2018-07-31
0.034400,0.00160,2018-08-31
0.000600,0.00150,2018-09-28
-0.076800,0.00190,2018-10-31
0.016900,0.00180,2018-11-30
-0.095700,0.00200,2018-12-31
0.084000,0.00210,2019-01-31
0.034000,0.00180,2019-02-28
0.011000,0.00190,2019-03-29
0.039700,0.00210,2019-04-30
-0.069400,0.00210,2019-05-31
0.069300,0.00180,2019-06-28
0.011900,0.00190,2019-07-31
-0.025800,0.00160,2019-08-30
0.014300,0.00180,2019-09-30
0.020600,0.00160,2019-10-31
0.038800,0.00120,2019-11-29
0.027700,0.00140,2019-12-31
-0.001100,0.00130,2020-01-31
-0.081300,0.00120,2020-02-28
-0.133900,0.00130,2020-03-31
0.136500,0.00000,2020-04-30
0.055800,0.00010,2020-05-29
0.024600,0.00010,2020-06-30
0.057700,0.00010,2020-07-31
0.076300,0.00010,2020-08-31
-0.036300,0.00010,2020-09-30
-0.021000,0.00010,2020-10-30
0.124700,0.00010,2020-11-30
0.046300,0.00010,2020-12-31
-0.000300,0.00010,2021-01-29
0.027800,0.00000,2021-02-26
0.030800,0.00000,2021-03-31
0.049300,0.00000,2021-04-30
0.002900,0.00000,2021-05-28
0.027500,0.00000,2021-06-30
0.012700,0.00000,2021-07-30
0.029100,0.00000,2021-08-31
-0.043700,0.00000,2021-09-30
0.066500,0.00000,2021-10-29
-0.015500,0.00000,2021-11-30
0.031000,0.00010,2021-12-31
-0.062500,0.00000,2022-01-31
-0.022900,0.00000,2022-02-28
0.030600,0.00010,2022-03-31
-0.094600,0.00010,2022-04-29
-0.003400,0.00030,2022-05-31
-0.084400,0.00060,2022-06-30
0.095700,0.00080,2022-07-29
-0.037700,0.00190,2022-08-31
-0.093500,0.00190,2022-09-30
0.078300,0.00230,2022-10-31
0.046100,0.00290,2022-11-30
-0.064100,0.00330,2022-12-30
0.066400,0.00350,2023-01-31
-0.025900,0.00340,2023-02-28
0.025100,0.00360,2023-03-31
0.006100,0.00350,2023-04-28
0.003500,0.00360,2023-05-31
0.064700,0.00400,2023-06-30
0.032100,0.00450,2023-07-31
-0.023900,0.00450,2023-08-31
-0.052400,0.00430,2023-09-29
-0.031800,0.00470,2023-10-31
0.088300,0.00440,2023-11-30
0.048700,0.00430,2023-12-29
0.007000,0.00470,2024-01-31
0.050700,0.00420,2024-02-29
0.028300,0.00430,2024-03-28
-0.046700,0.00470,2024-04-30
0.043400,0.00440,2024-05-31
0.027700,0.00410,2024-06-28
0.012400,0.00450,2024-07-31
0.016100,0.00480,2024-08-30
0.017400,0.00400,2024-09-30
-0.009700,0.00390,2024-10-31
0.065100,0.00400,2024-11-29
-0.031700,0.00370,2024-12-31
